id,url,ja,zh_cn,zh_tw,en,translate,note,source
western?c6=193,https://javdb521.com/tags/western?c6=193,Fan Submitted,粉丝作品,粉絲作品,Fan Submitted,粉絲作品,,javdb
western?c2=115,https://javdb521.com/tags/western?c2=115,Feet,,足交,Feet,足交,,javdb
tags?c2=142,https://javdb521.com/tags?c2=142,Female Doctor,女医生,女醫生,Female Doctor,女医生,,javdb
tags?c2=201,https://javdb521.com/tags?c2=201,Female Investigator,女检察官,女檢察官,Female Investigator,女检察官,,javdb
tags?c3=96,https://javdb521.com/tags?c3=96,Female Ninja,,女忍者,Female Ninja,女忍者,,javdb
tags?c2=158,https://javdb521.com/tags?c2=158,Female Teacher,女教师,女教師,Female Teacher,女教师,,javdb
tags?c3=151,https://javdb521.com/tags?c3=151,Female Warrior,女战士,女戰士,Female Warrior,女战士,,javdb
uncensored?c3=73,https://javdb521.com/tags/uncensored?c3=73,Female molester,,痴女,Female molester,痴女,,javdb
uncensored?c3=62,https://javdb521.com/tags/uncensored?c3=62,Female molester and M guy,痴女与M男,痴女與M男,Female molester and M guy,痴女與M男,,javdb
uncensored?c4=112,https://javdb521.com/tags/uncensored?c4=112,Female teacher,女教师,女教師,Female teacher,女教师,,javdb
western?c2=87,https://javdb521.com/tags/western?c2=87,Femdom,调教,調教,Femdom,调教,,javdb
tags?c1=103,https://javdb521.com/tags?c1=103,Fetish,恋物癖,戀物癖,Fetish,恋物癖,,javdb
tags?c2=172,https://javdb521.com/tags?c2=172,Fighters,格斗家,格鬥家,Fighters,格斗家,,javdb
tags?c7=150,https://javdb521.com/tags?c7=150,Fighting Action,战斗行动,戰鬥行動,Fighting Action,战斗行动,,javdb
tags?c5=77,https://javdb521.com/tags?c5=77,Finger Fuck,,手指插入,Finger Fuck,指交,,javdb
western?c5=133,https://javdb521.com/tags/western?c5=133,Firefighter,消防队员,消防隊員,Firefighter,消防隊員,,javdb
uncensored?c2=33,https://javdb521.com/tags/uncensored?c2=33,First appearance,,首次亮相,First appearance,首次亮相,,javdb
uncensored?c5=133,https://javdb521.com/tags/uncensored?c5=133,Fiscal 2018 selling top 100,2018畅销Top100,2018暢銷Top100,Fiscal 2018 selling top 100,2018暢銷Top100,,javdb
uncensored?c4=106,https://javdb521.com/tags/uncensored?c4=106,Fishnet tights,渔网裤袜,漁網褲襪,Fishnet tights,漁網褲襪,,javdb
tags?c5=141,https://javdb521.com/tags?c5=141,Fisting,,拳交,Fisting,拳交,,javdb
tags?c5=342,https://javdb521.com/tags?c5=342,Fit two holes,,二穴同入,Fit two holes,二穴同时插入,,javdb
western?c5=179,https://javdb521.com/tags/western?c5=179,Flight Attendant,,空姐,Flight Attendant,空姐,,javdb
western?c0=196,https://javdb521.com/tags/western?c0=196,Football,,足球,Football,足球,,javdb
tags?c5=61,https://javdb521.com/tags?c5=61,Footjob,,足交,Footjob,足交,,javdb
tags?c7=236,https://javdb521.com/tags?c7=236,For Women,给女性观众,給女性觀眾,For Women,女性向,,javdb
tags?c6=120,https://javdb521.com/tags?c6=120,Foreign Objects,插入异物,插入異物,Foreign Objects,插入异物,,javdb
western?c2=34,https://javdb521.com/tags/western?c2=34,Foursome,,4P,Foursome,4P,,javdb
tags?c2=274,https://javdb521.com/tags?c2=274,Freeter,飞特族,飛特族,Freeter,飞特族,,javdb
tags?c1=305,https://javdb521.com/tags?c1=305,Friendship,友谊,友誼,Friendship,友谊,,javdb
tags?c1=343,https://javdb521.com/tags?c1=343,Fucked by foreigners,被外国人干,被外國人幹,Fucked by foreigners,被外国人干,,javdb
tags?c1=211,https://javdb521.com/tags?c1=211,Futanari,双性人,雙性人,Futanari,双性人,,javdb
uncensored-5h,https://www.busfan.club/uncensored/genre/5h,Fカップ,F罩杯,F罩杯,Fカップ,F罩杯,,avsox;javbus
uncensored?c2=46,https://javdb521.com/tags/uncensored?c2=46,Gag (gag),,口塞,Gag (gag),口塞,,javdb
tags?c2=67,https://javdb521.com/tags?c2=67,Gal,,辣妹,Gal,女生,,javdb
western?c0=201,https://javdb521.com/tags/western?c0=201,Game,游戏,遊戲,Game,遊戲,,javdb
western?c2=45,https://javdb521.com/tags/western?c2=45,Gangbang,多男对一女,多男對一女,Gangbang,多男對一女,,javdb
western?c2=38,https://javdb521.com/tags/western?c2=38,Gape,肛门扩张,肛門擴張,Gape,肛門擴張,,javdb
western?c4=111,https://javdb521.com/tags/western?c4=111,Garage,车库,車庫,Garage,車庫,,javdb
western?c3=134,https://javdb521.com/tags/western?c3=134,Garter Belt,吊袜腰带,吊襪腰帶,Garter Belt,吊襪腰帶,,javdb
tags?c1=277,https://javdb521.com/tags?c1=277,Gay,男同性恋,男同性戀,Gay,男同性恋,,javdb
western?c5=135,https://javdb521.com/tags/western?c5=135,Girl Scout,女童子军,女童子軍,Girl Scout,女童子軍,,javdb
western?c5=486,https://javdb521.com/tags/western?c5=486,Girlfriend,,女友,Girlfriend,女友,,javdb
tags?c3=3,https://javdb521.com/tags?c3=3,Glasses,眼镜,眼鏡,Glasses,眼镜,,javdb
uncensored?c3=83,https://javdb521.com/tags/uncensored?c3=83,Glasses lady,眼镜娘,眼鏡娘,Glasses lady,眼鏡娘,,javdb
western?c4=190,https://javdb521.com/tags/western?c4=190,Glory Hole,寻欢洞,尋歡洞,Glory Hole,尋歡洞,,javdb
western?c5=487,https://javdb521.com/tags/western?c5=487,Goddess,,女神,Goddess,女神,,javdb
western?c0=82,https://javdb521.com/tags/western?c0=82,Gonzo,奇闻趣事,奇聞趣事,Gonzo,奇聞趣事,,javdb
uncensored?c4=114,https://javdb521.com/tags/uncensored?c4=114,Governess,家庭教师,家庭教師,Governess,家庭教師,,javdb
tags?c7=194,https://javdb521.com/tags?c7=194,Gravure,写真偶像,寫真偶像,Gravure,写真偶像,,javdb
uncensored?c2=11,https://javdb521.com/tags/uncensored?c2=11,Group Sex,轮奸,輪姦,Group Sex,轮奸,,javdb
uncensored?c3=89,https://javdb521.com/tags/uncensored?c3=89,Gyaru,,辣妹,Gyaru,辣妹,,javdb
uncensored-gre076,https://www.busfan.club/uncensored/genre/gre076,Gカップ,G罩杯,G罩杯,Gカップ,G罩杯,,avsox;javbus
tags?c7=335,https://javdb521.com/tags?c7=335,HD DVD,HD DVD,HDTV,HD DVD,HDTV,,javdb;javlib
tags?c4=388,https://javdb521.com/tags?c4=388,Hairy,,多毛,Hairy,多毛,,javdb
western?c1=21,https://javdb521.com/tags/western?c1=21,Hairy Pussy,阴毛,陰毛,Hairy Pussy,陰毛,,javdb
western?c0=185,https://javdb521.com/tags/western?c0=185,Halloween,万圣节,萬聖節,Halloween,萬聖節,,javdb
tags?c5=102,https://javdb521.com/tags?c5=102,Handjob,打手枪,手淫,Handjob,手淫,,javdb
uncensored?c2=18,https://javdb521.com/tags/uncensored?c2=18,Hardcore Fuck,,1v1性交,Hardcore Fuck,1v1性交,,javdb
western?c3=55,https://javdb521.com/tags/western?c3=55,Heels,,高跟鞋,Heels,高跟鞋,,javdb
uncensored?c4=110,https://javdb521.com/tags/uncensored?c4=110,Heroine,,女主角,Heroine,女主角,,javdb
uncensored?c4=296,https://javdb521.com/tags/uncensored?c4=296,High heel,,高跟鞋,High heel,高跟鞋,,javdb
tags?c3=352,https://javdb521.com/tags?c3=352,High heels,,高跟鞋,High heels,高跟鞋,,javdb
tags?c7=191,https://javdb521.com/tags?c7=191,Historical Play,历史剧,歷史劇,Historical Play,历史剧,,javdb
tags?c7=292,https://javdb521.com/tags?c7=292,"Hobby, Culture",爱好，文化,愛好，文化,"Hobby, Culture",爱好?文化,,javdb
tags?c7=253,https://javdb521.com/tags?c7=253,Horror,,恐怖,Horror,恐怖,,javdb
western?c4=176,https://javdb521.com/tags/western?c4=176,Hospital,医院,醫院,Hospital,醫院,,javdb
tags?c2=190,https://javdb521.com/tags?c2=190,Hostesses,礼仪小姐,禮儀小姐,Hostesses,礼仪小姐,,javdb
tags?c1=56,https://javdb521.com/tags?c1=56,Hot Spring,温泉,溫泉,Hot Spring,温泉,,javdb
western?c4=163,https://javdb521.com/tags/western?c4=163,Hotel Room,酒店房间,酒店房間,Hotel Room,酒店房間,,javdb
tags?c7=250,https://javdb521.com/tags?c7=250,How To,教学,教學,How To,教学,,jav321;javbus;javdb;javlib
tags?c4=131,https://javdb521.com/tags?c4=131,Huge Butt,,大屁股,Huge Butt,巨尻,,javdb
tags?c6=79,https://javdb521.com/tags?c6=79,Humiliation,羞耻,羞恥,Humiliation,羞耻,,javdb
tags?c6=176,https://javdb521.com/tags?c6=176,Hypnosis,,催眠,Hypnosis,催眠,,javdb
uncensored-gre082,https://www.busfan.club/uncensored/genre/gre082,Hカップ,H罩杯,H罩杯,Hカップ,H罩杯,,avsox;javbus
tags?c2=32,https://javdb521.com/tags?c2=32,Idol,,偶像,Idol,偶像,,javdb
tags?c1=300,https://javdb521.com/tags?c1=300,Image Club,形象俱乐部,形象俱樂部,Image Club,形象俱乐部,,javdb
tags?c7=26,https://javdb521.com/tags?c7=26,Image Video,介绍影片,介紹影片,Image Video,介绍影片,,javdb
uncensored?c2=65,https://javdb521.com/tags/uncensored?c2=65,Immediate Saddle,立即骑乘,立即騎乘,Immediate Saddle,立即騎乘,,javdb
tags?c6=170,https://javdb521.com/tags?c6=170,Impromptu Sex,,立即口交,Impromptu Sex,立即口交,,javdb
uncensored?c2=60,https://javdb521.com/tags/uncensored?c2=60,In front of the others,,在他人面前,In front of the others,在他人面前,,javdb
uncensored?c2=54,https://javdb521.com/tags/uncensored?c2=54,In public places ...,公共场所,公共場所,In public places ...,公共場所,,javdb
uncensored?c2=59,https://javdb521.com/tags/uncensored?c2=59,In tropical resort ...,南国度假地,南國度假地,In tropical resort ...,南國度假地,,javdb
uncensored?c2=56,https://javdb521.com/tags/uncensored?c2=56,Incest,乱伦,亂倫,Incest,乱伦,,javdb
tags?c7=121,https://javdb521.com/tags?c7=121,Independents,独立制作,獨立製作,Independents,独立制作,,javdb
western?c4=159,https://javdb521.com/tags/western?c4=159,Indoors,室内,室內,Indoors,室內,,javdb
tags?c2=204,https://javdb521.com/tags?c2=204,Instructor,讲师,講師,Instructor,讲师,,javdb
tags?c1=54,https://javdb521.com/tags?c1=54,Insult,乱伦,亂倫,Insult,乱伦,,javdb
uncensored?c2=28,https://javdb521.com/tags/uncensored?c2=28,Intense back fuck,背后插入,背後插入,Intense back fuck,背後插入,,javdb
western?c0=68,https://javdb521.com/tags/western?c0=68,Interracial,跨种族,跨種族,Interracial,跨種族,,javdb
western?c0=64,https://javdb521.com/tags/western?c0=64,Interview,采访,採訪,Interview,採訪,,javdb
tags?c5=385,https://javdb521.com/tags?c5=385,Itching,搔痒,搔癢,Itching,搔癢,,javdb
uncensored-mu,https://www.busfan.club/uncensored/genre/mu,Iカップ,I罩杯,I罩杯,Iカップ,I罩杯,,avsox;javbus
western?c3=172,https://javdb521.com/tags/western?c3=172,Jean Shorts,牛仔短裤,牛仔短褲,Jean Shorts,牛仔短褲,,javdb
western?c3=100,https://javdb521.com/tags/western?c3=100,Jeans,牛仔裤,牛仔褲,Jeans,牛仔褲,,javdb
western?c5=166,https://javdb521.com/tags/western?c5=166,Judge,,法官,Judge,法官,,javdb
uncensored?c3=69,https://javdb521.com/tags/uncensored?c3=69,Kimono,,和服,Kimono,和服,,javdb
tags?c3=95,https://javdb521.com/tags?c3=95,"Kimono, Mourning",和服，丧服,和服，喪服,"Kimono, Mourning",和服?丧服,,javdb
western?c0=118,https://javdb521.com/tags/western?c0=118,Kinky,微变态,微變態,Kinky,微變態,,javdb
tags?c5=124,https://javdb521.com/tags?c5=124,Kiss,,接吻,Kiss,接吻,,javdb
western?c2=41,https://javdb521.com/tags/western?c2=41,Kissing,,接吻,Kissing,接吻,,javdb
western?c4=158,https://javdb521.com/tags/western?c4=158,Kitchen,厨房,廚房,Kitchen,廚房,,javdb
tags?c3=198,https://javdb521.com/tags?c3=198,Knee Socks,丝袜、过膝袜,絲襪、過膝襪,Knee Socks,过膝袜,,javdb
tags?c1=291,https://javdb521.com/tags?c1=291,Korean,韩国,韓國,Korean,韩国,,javdb
uncensored?c2=36,https://javdb521.com/tags/uncensored?c2=36,Lady body cuisine,女体料理,女體料理,Lady body cuisine,女體料理,,javdb
western?c1=488,https://javdb521.com/tags/western?c1=488,Landing strip,比基尼直线,比基尼直線,Landing strip,比基尼直線,,javdb
tags?c2=144,https://javdb521.com/tags?c2=144,"Landlady, Hostess",老板娘，女主人,老闆娘，女主人,"Landlady, Hostess",老板娘，女主人,,javdb
uncensored?c2=50,https://javdb521.com/tags/uncensored?c2=50,Large screaming,,浪叫,Large screaming,浪叫,,javdb
western?c3=101,https://javdb521.com/tags/western?c3=101,Latex,胶乳,膠乳,Latex,膠乳,,javdb
western?c0=77,https://javdb521.com/tags/western?c0=77,Latina,,拉丁美女,Latina,拉丁美女,,javdb
western?c5=167,https://javdb521.com/tags/western?c5=167,Lawyer,律师,律師,Lawyer,律師,,javdb
tags?c1=107,https://javdb521.com/tags?c1=107,Leg Fetish,恋腿癖,戀腿癖,Leg Fetish,恋腿癖,,javdb
western?c3=152,https://javdb521.com/tags/western?c3=152,Leggings,绑腿,綁腿,Leggings,綁腿,,javdb
tags?c3=177,https://javdb521.com/tags?c3=177,Leotard,紧身衣,緊身衣,Leotard,紧身衣,,javdb
tags?c1=64,https://javdb521.com/tags?c1=64,Lesbian,女同性恋,女同性戀,Lesbian,女同性恋,,javdb
tags?c1=132,https://javdb521.com/tags?c1=132,Lesbian Kiss,,女同接吻,Lesbian Kiss,女同接吻,,javdb
western?c4=181,https://javdb521.com/tags/western?c4=181,Library,图书馆,圖書館,Library,圖書館,,javdb
uncensored?c2=295,https://javdb521.com/tags/uncensored?c2=295,Licking,,舔,Licking,舔,,javdb
western?c5=136,https://javdb521.com/tags/western?c5=136,Lifeguard,救生员,救生員,Lifeguard,救生員,,javdb
tags?c3=49,https://javdb521.com/tags?c3=49,Lingerie,内衣,內衣,Lingerie,内衣,,javdb
western?c4=282,https://javdb521.com/tags/western?c4=282,Living Room,客厅,客廳,Living Room,客廳,,javdb
western?c4=175,https://javdb521.com/tags/western?c4=175,Locker Room,,更衣室,Locker Room,更衣室,,javdb
uncensored?c4=108,https://javdb521.com/tags/uncensored?c4=108,Lolita,萝莉,蘿莉,Lolita,蘿莉,,javdb
tags?c3=182,https://javdb521.com/tags?c3=182,Lolita Gothic,萝莉角色扮演,蘿莉角色扮演,Lolita Gothic,萝莉角色扮演,,javdb
tags?c2=82,https://javdb521.com/tags?c2=82,Look-alike,明星脸,明星臉,Look-alike,明星脸,,javdb
tags?c3=199,https://javdb521.com/tags?c3=199,Loose Socks,泡泡袜,泡泡襪,Loose Socks,泡泡袜,,javdb
tags?c6=71,https://javdb521.com/tags?c6=71,Lotion,,乳液,Lotion,乳汁,,javdb
tags?c7=178,https://javdb521.com/tags?c7=178,Love,恋爱,戀愛,Love,恋爱,,javdb
uncensored?c3=86,https://javdb521.com/tags/uncensored?c3=86,M woman,,M女,M woman,M女,,javdb
uncensored?c2=22,https://javdb521.com/tags/uncensored?c2=22,M-leg,M字开腿,M字開腿,M-leg,M字開腿,,javdb
western?c0=58,https://javdb521.com/tags/western?c0=58,MILF,,成熟妈妈,MILF,成熟妈妈,,javdb
tags?c5=356,https://javdb521.com/tags?c5=356,MMF,两男一女,兩男一女,MMF,兩男一女,,javdb
tags?c5=355,https://javdb521.com/tags?c5=355,MMFF,两男两女,兩男兩女,MMFF,兩男兩女,,javdb
uncensored?c3=79,https://javdb521.com/tags/uncensored?c3=79,Madame,,太太,Madame,太太,,javdb
tags?c3=113,https://javdb521.com/tags?c3=113,Maid,女佣,女傭,Maid,女佣,,javdb
tags?c7=280,https://javdb521.com/tags?c7=280,Male,,男性,Male,,只有一部影片，而且片如分类名,javdb
tags?c2=20,https://javdb521.com/tags?c2=20,Married Woman,已婚妇女,已婚婦女,Married Woman,已婚妇女,,javdb
uncensored?c3=87,https://javdb521.com/tags/uncensored?c3=87,Married woman,,人妻,Married woman,人妻,,javdb
tags?c6=346,https://javdb521.com/tags?c6=346,Masked,,蒙面?面罩,Masked,蒙面?面罩,,javdb
tags?c5=69,https://javdb521.com/tags?c5=69,Massage,,按摩,Massage,按摩,,javdb
western?c2=28,https://javdb521.com/tags/western?c2=28,Masturbation,,手淫,Masturbation,手淫,,javdb
uncensored?c3=70,https://javdb521.com/tags/uncensored?c3=70,Mature,,熟女,Mature,熟女,,javdb
tags?c4=15,https://javdb521.com/tags?c4=15,Mature Woman,,熟女,Mature Woman,熟女,,javdb
western?c5=138,https://javdb521.com/tags/western?c5=138,Mechanic,维修工,維修工,Mechanic,維修工,,javdb
western?c0=200,https://javdb521.com/tags/western?c0=200,Military,军事,軍事,Military,軍事,,javdb
tags?c4=134,https://javdb521.com/tags?c4=134,Mini,,瘦小身型,Mini,瘦小身型,,javdb
tags?c3=129,https://javdb521.com/tags?c3=129,Mini Skirt,,迷你裙,Mini Skirt,迷你裙,,javdb
tags?c3=248,https://javdb521.com/tags?c3=248,Mini Skirt Police,,迷你裙警察,Mini Skirt Police,迷你裙警察,,javdb
uncensored?c2=31,https://javdb521.com/tags/uncensored?c2=31,Mini Skirt Skirt,,迷你裙,Mini Skirt Skirt,迷你裙,,javdb
tags?c2=105,https://javdb521.com/tags?c2=105,Miss,,大小姐,Miss,大小姐,,javdb
western?c2=9,https://javdb521.com/tags/western?c2=9,Missionary,传教士,傳教士,Missionary,傳教士,,javdb
tags?c2=169,https://javdb521.com/tags?c2=169,Model,模特儿,模特兒,Model,模特,,javdb
tags?c1=162,https://javdb521.com/tags?c1=162,Molester,性骚扰,性騷擾,Molester,性骚扰,,javdb
uncensored?c2=58,https://javdb521.com/tags/uncensored?c2=58,Molester by train,电车痴汉,電車痴漢,Molester by train,電車痴漢,,javdb
western?c5=114,https://javdb521.com/tags/western?c5=114,Mom,妈妈,媽媽,Mom,媽媽,,javdb
tags?c2=377,https://javdb521.com/tags?c2=377,Moms friend,妈妈的朋友,媽媽的朋友,Moms friend,媽媽的朋友,,javdb
tags?c2=55,https://javdb521.com/tags?c2=55,Mother,母亲,母親,Mother,母亲,,javdb
tags?c6=357,https://javdb521.com/tags?c6=357,Mouth Gag,,口球,Mouth Gag,口球,,javdb
tags?c7=164,https://javdb521.com/tags?c7=164,Multiple Story,,故事集,Multiple Story,故事集,,javdb
tags?c4=166,https://javdb521.com/tags?c4=166,Muscle,,肌肉,Muscle,肌肉,,javdb
western?c1=285,https://javdb521.com/tags/western?c1=285,Muscular,肌肉发达,肌肉發達,Muscular,肌肉發達,,javdb
el,https://www.busfan.club/genre/el,M女,,M女,M女,M女,,javbus
6k,https://www.busfan.club/genre/6k,M男,M男,M男,Masochist Man,M男,,jav321;javbus;javlib
tags?c3=89,https://javdb521.com/tags?c3=89,Naked Apron,裸体围裙,裸體圍裙,Naked Apron,裸体围裙,,javdb
uncensored?c2=289,https://javdb521.com/tags/uncensored?c2=289,Nampa,搭讪,搭訕,Nampa,搭訕,,javdb
uncensored?c3=85,https://javdb521.com/tags/uncensored?c3=85,Nasty S woman,淫乱S女,淫亂S女,Nasty S woman,淫亂S女,,javdb
tags?c1=23,https://javdb521.com/tags?c1=23,"Nasty, Hardcore",淫乱真实,淫亂真實,"Nasty, Hardcore",淫乱?真实,,javdb
western?c1=60,https://javdb521.com/tags/western?c1=60,Natural Tits,,自然乳房,Natural Tits,自然乳房,,javdb
uncensored?c5=122,https://javdb521.com/tags/uncensored?c5=122,New Movies,,最新影片,New Movies,最新影片,,javdb
uncensored?c3=82,https://javdb521.com/tags/uncensored?c3=82,Nice Ass,,漂亮屁股,Nice Ass,漂亮屁股,,javdb
tags?c6=353,https://javdb521.com/tags?c6=353,"Nipple, Piercing, Nipple Ring",乳钉、穿孔、乳环,乳釘、穿孔、乳環,"Nipple, Piercing, Nipple Ring",乳钉、乳环,,javdb
tags?c5=375,https://javdb521.com/tags?c5=375,No bra,,不穿胸罩,No bra,不穿胸罩,,javdb
tags?c5=374,https://javdb521.com/tags?c5=374,No underwear,不穿内裤,不穿內褲,No underwear,不穿内裤,,javdb
tags?c1=243,https://javdb521.com/tags?c1=243,Normal,,正常,Normal,正常,,javdb
tags?c6=380,https://javdb521.com/tags?c6=380,Nose hook,鼻钩,鼻鉤,Nose hook,鼻鉤,,javdb
uncensored?c5=129,https://javdb521.com/tags/uncensored?c5=129,Nostalgic,怀旧,懷舊,Nostalgic,懷舊,,javdb
uncensored?c5=128,https://javdb521.com/tags/uncensored?c5=128,Now showing,,正在上映,Now showing,正在上映,,javdb
tags?c1=218,https://javdb521.com/tags?c1=218,Nude,,全裸,Nude,全裸,,javdb
tags?c3=270,https://javdb521.com/tags?c3=270,Nun,,修女,Nun,修女,,javdb
tags?c2=115,https://javdb521.com/tags?c2=115,Nurse,护士,護士,Nurse,护士,,javdb
tags?c3=114,https://javdb521.com/tags?c3=114,OL,白领,OL,OL,OL,,avsox;jav321;javbus;javdb;javlib
western?c4=110,https://javdb521.com/tags/western?c4=110,Office,办公室,辦公室,Office,辦公室,,javdb
western?c0=53,https://javdb521.com/tags/western?c0=53,Oil,,按摩油,Oil,按摩油,,javdb
tags?c2=366,https://javdb521.com/tags?c2=366,Old Men,,老年男性,Old Men,老年男性,,javdb
tags?c2=365,https://javdb521.com/tags?c2=365,Old Women,,老太婆,Old Women,老太婆,,javdb
tags?c2=44,https://javdb521.com/tags?c2=44,Older Sister,,姐姐,Older Sister,姐姐,,javdb
tags?c7=271,https://javdb521.com/tags?c7=271,Omnibus,综合短篇,綜合短篇,Omnibus,综合短篇,,javdb
western?c2=43,https://javdb521.com/tags/western?c2=43,Orgy,,群交,Orgy,群交,,javdb
tags?c7=238,https://javdb521.com/tags?c7=238,Original Collaboration,原作改编,原作改編,Original Collaboration,原作改編,,javdb
tags?c2=363,https://javdb521.com/tags?c2=363,Otaku,,御宅族,Otaku,御宅族,,javdb
western?c6=170,https://javdb521.com/tags/western?c6=170,Other,,其他,Other,其他,,javdb
tags?c2=282,https://javdb521.com/tags?c2=282,Other Asian,亚洲女演员,亞洲女演員,Other Asian,亚洲女演员,,javdb
tags?c1=2,https://javdb521.com/tags?c1=2,Other Fetish,其他恋物癖,其他戀物癖,Other Fetish,其他恋物癖,,javdb
tags?c2=163,https://javdb521.com/tags?c2=163,Other Students,其他学生,其他學生,Other Students,其他学生,,javdb
uncensored?c2=141,https://javdb521.com/tags/uncensored?c2=141,Otherwise,,其他,Otherwise,其他,,javdb
uncensored?c2=52,https://javdb521.com/tags/uncensored?c2=52,Ourdoor,户外,戶外,Ourdoor,户外,,javdb
tags?c6=66,https://javdb521.com/tags?c6=66,Outdoors,户外,戶外,Outdoors,户外,,javdb
tags?c7=161,https://javdb521.com/tags?c7=161,Over 16 hours,16小时以上作品,16小時以上作品,Over 16 hours,16小时以上作品,,javdb
tags?c7=9,https://javdb521.com/tags?c7=9,Oversea Import,国外进口,國外進口,Oversea Import,国外进口,,javdb
tags?c7=45,https://javdb521.com/tags?c7=45,POV,第一人称摄影,第一人稱攝影,POV,第一人称摄影,,javdb
western?c1=95,https://javdb521.com/tags/western?c1=95,Pale Skin,雪白皮肤,雪白皮膚,Pale Skin,雪白皮膚,,javdb
tags?c7=370,https://javdb521.com/tags?c7=370,Pampering,养尊处优,養尊處優,Pampering,養尊處優,,javdb
tags?c3=106,https://javdb521.com/tags?c3=106,Pantyhose,连裤袜,連褲襪,Pantyhose,连裤袜,,javdb
western?c4=177,https://javdb521.com/tags/western?c4=177,Park,公园,公園,Park,公園,,javdb
western?c4=112,https://javdb521.com/tags/western?c4=112,Parking Lot,停车场,停車場,Parking Lot,停車場,,javdb
uncensored?c5=118,https://javdb521.com/tags/uncensored?c5=118,Parody,恶搞,惡搞,Parody,惡搞,,javdb
western?c0=168,https://javdb521.com/tags/western?c0=168,Party,派对,派對,Party,派對,,javdb
tags?c1=293,https://javdb521.com/tags?c1=293,Peeping,偷窥,偷窺,Peeping,偷窥,,javdb
western?c1=65,https://javdb521.com/tags/western?c1=65,Petite,小个子美女,小個子美女,Petite,小個子美女,,javdb
uncensored?c5=127,https://javdb521.com/tags/uncensored?c5=127,Photo gallery,写真,寫真,Photo gallery,寫真,,javdb
western?c2=54,https://javdb521.com/tags/western?c2=54,Pile Driver,打桩式,打樁式,Pile Driver,打樁式,,javdb
uncensored?c2=44,https://javdb521.com/tags/uncensored?c2=44,Pink rotor,粉红,粉紅,Pink rotor,粉紅,,javdb
western?c2=116,https://javdb521.com/tags/western?c2=116,Piss,,小便,Piss,小便,,javdb
tags?c5=195,https://javdb521.com/tags?c5=195,Piss Drinking,饮尿,飲尿,Piss Drinking,饮尿,,javdb
uncensored?c2=146,https://javdb521.com/tags/uncensored?c2=146,Pissing incontinence,,尿失禁,Pissing incontinence,尿失禁,,javdb
tags?c1=86,https://javdb521.com/tags?c1=86,Planning,企画,企畫,Planning,企画,,javdb
uncensored?c2=16,https://javdb521.com/tags/uncensored?c2=16,Play with the foreigners,与外国人玩,與外國人玩,Play with the foreigners,與外國人玩,,javdb
western?c5=139,https://javdb521.com/tags/western?c5=139,Plumber,,水管工,Plumber,水管工,,javdb
western?c5=140,https://javdb521.com/tags/western?c5=140,Police,,警察,Police,警察,,javdb
western?c4=109,https://javdb521.com/tags/western?c4=109,Pool,,泳池,Pool,泳池,,javdb
uncensored?c5=117,https://javdb521.com/tags/uncensored?c5=117,Popular title,人气标题,人氣標題,Popular title,人氣標題,,javdb
tags?c1=111,https://javdb521.com/tags?c1=111,Prank,恶作剧,惡作劇,Prank,恶作剧,,javdb
uncensored?c2=293,https://javdb521.com/tags/uncensored?c2=293,Pregnancy,,妊娠,Pregnancy,妊娠,,javdb
tags?c4=92,https://javdb521.com/tags?c4=92,Pregnant Woman,孕妇,孕婦,Pregnant Woman,孕妇,,javdb
tags?c3=223,https://javdb521.com/tags?c3=223,Priestess,,女祭司,Priestess,女祭司,,javdb
tags?c2=264,https://javdb521.com/tags?c2=264,Princess,,公主,Princess,公主,,javdb
western?c4=165,https://javdb521.com/tags/western?c4=165,Prison,监狱,監獄,Prison,監獄,,javdb
western?c5=141,https://javdb521.com/tags/western?c5=141,Prisoner,,囚犯,Prisoner,囚犯,,javdb
tags?c5=110,https://javdb521.com/tags?c5=110,Promiscuity,滥交,濫交,Promiscuity,滥交,,javdb
western?c2=10,https://javdb521.com/tags/western?c2=10,Prone Bone,俯卧后入式,俯臥後入式,Prone Bone,俯臥後入式,,javdb
tags?c2=70,https://javdb521.com/tags?c2=70,Prostitutes,,妓女,Prostitutes,妓女,,javdb
tags?c7=367,https://javdb521.com/tags?c7=367,Psychological thriller,心理惊悚,心理驚悚,Psychological thriller,心理驚悚,,javdb
tags?c1=362,https://javdb521.com/tags?c1=362,Pure libido,纯欲,純欲,Pure libido,純欲,,javdb
uncensored?c2=35,https://javdb521.com/tags/uncensored?c2=35,"Pussy Development Co., Ltd.",奥斯曼株式会社,奧斯曼株式會社,"Pussy Development Co., Ltd.",奧斯曼株式會社,,javdb
western?c2=5,https://javdb521.com/tags/western?c2=5,Pussy Licking,舔阴,舔陰,Pussy Licking,舔阴,,javdb
western?c3=162,https://javdb521.com/tags/western?c3=162,Pyjamas,,睡衣,Pyjamas,睡衣,,javdb
tags?c2=384,https://javdb521.com/tags?c2=384,Queen,,女王,Queen,女王,,javdb
tags?c7=311,https://javdb521.com/tags?c7=311,R-15,R-15,R-15,R-15,R-15,,javbus;javdb;javlib
5n,https://www.busfan.club/genre/5n,R-18,R-18,R-18,Restricted to Under,R-18,,javbus;javlib
tags?c2=133,https://javdb521.com/tags?c2=133,Race Queen,赛车女郎,賽車女郎,Race Queen,赛车女郎,,javdb
